month_year,state,fips,new_case,state_pop,new_case_per
06/2020,IA,19,9395,3160553,297.2581064136561
06/2020,ID,16,3278,1753860,186.90203322956222
06/2020,IL,17,23978,12768320,187.79291245833437
06/2020,IN,18,11020,6699629,164.48672008554502
06/2020,KS,20,4724,2918515,161.86313930200805
06/2020,KY,21,6605,4472265,147.6880283256918
06/2020,LA,22,18179,4682509,388.2320354322864
06/2020,MA,25,6736,6895917,97.6809900699211
06/2020,MD,24,14591,6079602,239.99926310965753
06/2020,ME,23,945,1341582,70.4392277177243
06/2020,MI,26,27082,9991177,271.05915549289136
06/2020,MN,27,11508,5628162,204.47172629359284
06/2020,MO,29,11267,6135888,183.62460331740084
06/2020,MP,69,8,57557,13.899265076359088
06/2020,MS,28,15389,2982785,515.9272290828873
06/2020,MT,30,503,1062330,47.348752270951586
06/2020,NC,37,41125,10390149,395.80760583895375
06/2020,ND,38,999,755238,132.27618313697138
06/2020,NE,31,5065,1932549,262.0890854513909
06/2020,NH,33,1131,1350575,83.74210984210428
06/2020,NJ,34,11871,9032872,131.41999576657346
06/2020,NM,35,4458,2090708,213.22920273897645
06/2020,NV,32,10074,3056824,329.5577370499577
06/2020,NY,36,10808,19862512,54.41406404184929
06/2020,NYC,36061,10966,8400000,130.54761904761904
06/2020,OH,39,16276,11694664,139.17458423773442
06/2020,OK,40,11587,3940521,294.0474114971091
06/2020,OR,41,4413,4199563,105.08236214101325
06/2020,PA,42,15114,12823989,117.85724395116058
06/2020,PR,72,559,3400000,16.441176470588236
06/2020,PW,70,0,18092,0.0
06/2020,RI,44,1895,1061712,178.48531428485316
06/2020,SC,45,23623,5088916,464.2049505238444
06/2020,SD,46,1771,877790,201.75668440059695
06/2020,TN,47,24872,6782564,366.7049805943593
06/2020,TX,48,95699,28704330,333.3956932630025
06/2020,UT,49,12802,3159345,405.21057371069
06/2020,VA,51,17389,8525660,203.96074907983666
06/2020,VI,78,21,106290,19.757267852102736
06/2020,VT,50,203,623960,32.53413680364126
06/2020,WA,53,11065,7530552,146.93477981428188
06/2020,WI,55,13259,5818049,227.89426489876593
06/2020,WV,54,895,1803077,49.63736989601665
06/2020,WY,56,584,573720,101.79181482256152
06/2021,AK,02,898,738068,121.66900610783831
06/2021,AL,01,5556,4888949,113.64405724011439
06/2021,AR,05,8004,3020327,265.0044183957565
06/2021,AS,60,0,55197,0.0
06/2021,AZ,04,13425,7123898,188.4501995957831
06/2021,CA,06,32273,39776830,81.1351734162828
06/2021,CO,08,11133,5684203,195.85859266461804
06/2021,CT,09,1846,3588683,51.43948350968866
06/2021,DE,10,868,971180,89.37581086925184
06/2021,FL,12,52607,21312211,246.83971081179706
06/2021,GA,13,10732,10545138,101.77202043254437
06/2021,GU,66,193,168783,114.34800898194723
06/2021,HI,15,1356,1426393,95.06496456446436
06/2021,IA,19,2437,3160553,77.10675948164767
06/2021,ID,16,2920,1753860,166.4899136761201
06/2021,IL,17,9553,12768320,74.81798701786923
06/2021,IN,18,9779,6699629,145.96330632636526
06/2021,KS,20,3794,2918515,129.99761865195143
06/2021,KY,21,5594,4472265,125.0820333768236
06/2021,LA,22,9586,4682509,204.71930753363208
06/2021,MA,25,2929,6895917,42.47440913224448
06/2021,MD,24,2410,6079602,39.64075279927864
06/2021,ME,23,1235,1341582,92.05549865755503
06/2021,MI,26,6259,9991177,62.645271923418036
06/2021,MN,27,3915,5628162,69.5608975008182
06/2021,MO,29,20308,6135888,330.9708391026694
06/2021,MP,69,0,57557,0.0
06/2021,MS,28,4189,2982785,140.43922039302197
06/2021,MT,30,1926,1062330,181.2995961706814
06/2021,NC,37,12213,10390149,117.54403137048371
06/2021,ND,38,756,755238,100.10089534689726
06/2021,NE,31,1170,1932549,60.54180256231537
06/2021,NH,33,758,1350575,56.12424337782056
06/2021,NJ,34,7063,9032872,78.19218516547117
06/2021,NM,35,2394,2090708,114.50666472792948
06/2021,NV,32,9580,3056824,313.3971730135592
06/2021,NY,36,6255,19862512,31.491485064930355
06/2021,NYC,36061,6357,8400000,75.67857142857143
06/2021,OH,39,9080,11694664,77.64224778069725
06/2021,OK,40,4938,3940521,125.31337861160999
06/2021,OR,41,7162,4199563,170.54155396644842
06/2021,PA,42,9420,12823989,73.45608297075114
06/2021,PR,72,1456,3400000,42.82352941176471
06/2021,PW,70,0,18092,0.0
06/2021,RI,44,686,1061712,64.61262564612626
06/2021,SC,45,5226,5088916,102.69377604189182
06/2021,SD,46,345,877790,39.3032502079085
06/2021,TN,47,5621,6782564,82.87426406886834
06/2021,TX,48,44613,28704330,155.42254426422772
06/2021,UT,49,8969,3159345,283.88795778871884
06/2021,VA,51,4967,8525660,58.25941921211965
06/2021,VI,78,421,106290,396.08617932072633
06/2021,VT,50,167,623960,26.764536188217193
06/2021,WA,53,14920,7530552,198.1262462565825
06/2021,WI,55,3202,5818049,55.03563136027215
06/2021,WV,54,2328,1803077,129.11262247813042
06/2021,WY,56,1984,573720,345.81328871226384
07/2020,AK,02,2049,738068,277.61669656454416
07/2020,AL,01,55684,4888949,1138.976904852147
07/2020,AR,05,21734,3020327,719.5909581975727
07/2020,AS,60,0,55197,0.0
07/2020,AZ,04,94826,7123898,1331.097104422326
07/2020,CA,06,288997,39776830,726.5460822292777
07/2020,CO,08,14610,5684203,257.02811810204526
07/2020,CT,09,3296,3588683,91.84427824915157
07/2020,DE,10,3598,971180,370.4771515064149
07/2020,FL,12,315409,21312211,1479.9449949139487
07/2020,GA,13,109057,10545138,1034.1922504949673
07/2020,GU,66,89,168783,52.730429012400535
07/2020,HI,15,1264,1426393,88.61512921053314
07/2020,IA,19,15635,3160553,494.6919099284208
07/2020,ID,16,14604,1753860,832.6776367554993
07/2020,IL,17,35880,12768320,281.007994787098
07/2020,IN,18,20560,6699629,306.88266469680633
07/2020,KS,20,13369,2918515,458.0754253447387
07/2020,KY,21,17388,4472265,388.7962810790506
07/2020,LA,22,58185,4682509,1242.603057463424
07/2020,MA,25,6086,6895917,88.25512256020482
07/2020,MD,24,21447,6079602,352.76980302329
07/2020,ME,23,643,1341582,47.92849039417643
07/2020,MI,26,41363,9991177,413.99526802497843
07/2020,MN,27,18472,5628162,328.20661523246844
07/2020,MO,29,30375,6135888,495.0383709741768
07/2020,MP,69,12,57557,20.848897614538632
07/2020,MS,28,31944,2982785,1070.9454419275946
07/2020,MT,30,2947,1062330,277.40909133696687
07/2020,NC,37,56603,10390149,544.775633150208
07/2020,ND,38,3026,755238,400.6683985710465
07/2020,NE,31,7035,1932549,364.02699232981934
07/2020,NH,33,801,1350575,59.30807248764415
07/2020,NJ,34,11286,9032872,124.94365025874384
07/2020,NM,35,8453,2090708,404.31279738729654
07/2020,NV,32,29628,3056824,969.2412778753373
07/2020,NY,36,11591,19862512,58.356163611128345
07/2020,NYC,36061,10719,8400000,127.60714285714285
07/2020,OH,39,39370,11694664,336.64926157775886
07/2020,OK,40,23629,3940521,599.6415194843524
07/2020,OR,41,9837,4199563,234.23865768890713
07/2020,PA,42,26017,12823989,202.87759136412234
07/2020,PR,72,6460,3400000,190.0
07/2020,PW,70,0,18092,0.0
07/2020,RI,44,2234,1061712,210.4148771041488
07/2020,SC,45,54269,5088916,1066.4157160385435
07/2020,SD,46,2000,877790,227.84492874149856
07/2020,TN,47,59602,6782564,878.7532266558783
07/2020,TX,48,260960,28704330,909.1311310871914
07/2020,UT,49,18051,3159345,571.3526063155496
07/2020,VA,51,28014,8525660,328.5845318720193
07/2020,VI,78,331,106290,311.412174240286
07/2020,VT,50,192,623960,30.771203282261684
07/2020,WA,53,23919,7530552,317.6261182447183
07/2020,WI,55,25272,5818049,434.37241590780684
07/2020,WV,54,3737,1803077,207.25681709655217
07/2020,WY,56,1239,573720,215.95900439238653
07/2021,AK,02,4140,738068,560.9239257087423
07/2021,AL,01,40910,4888949,836.785165891483
07/2021,AR,05,37067,3020327,1227.2512214737014
07/2021,AS,60,0,55197,0.0
07/2021,AZ,04,32360,7123898,454.2456952640254
07/2021,CA,06,184516,39776830,463.8780918439202
07/2021,CO,08,16893,5684203,297.19206017096855
07/2021,CT,09,5397,3588683,150.3894325578492
07/2021,DE,10,1663,971180,171.23499248337075
07/2021,FL,12,292279,21312211,1371.415664005954
07/2021,GA,13,48705,10545138,461.87162273267546
07/2021,GU,66,189,168783,111.97810206004159
07/2021,HI,15,4252,1426393,298.09456440125547
07/2021,IA,19,6373,3160553,201.64192785249924
07/2021,ID,16,5775,1753860,329.2737162601348
07/2021,IL,17,29741,12768320,232.92805944713163
07/2021,IN,18,18304,6699629,273.20915829816846
07/2021,KS,20,15394,2918515,527.4600267601845
07/2021,KY,21,21220,4472265,474.4799335459773
07/2021,LA,22,63914,4682509,1364.9519947532401
07/2021,MA,25,10515,6895917,152.48153363794836
07/2021,MD,24,6467,6079602,106.37209475225518
07/2021,ME,23,1409,1341582,105.02526122145348
07/2021,MI,26,13080,9991177,130.91550675160693
07/2021,MN,27,7543,5628162,134.02243929723417
07/2021,MO,29,61493,6135888,1002.1858286852694
07/2021,MP,69,7,57557,12.161856941814202
07/2021,MS,28,24532,2982785,822.4528418910515
07/2021,MT,30,2699,1062330,254.0641796805136
07/2021,NC,37,47379,10390149,455.99923542963626
07/2021,ND,38,940,755238,124.46407622497809
07/2021,NE,31,4203,1932549,217.48478305077904
07/2021,NH,33,1262,1350575,93.44168224645058
07/2021,NJ,34,15958,9032872,176.66584891272677
07/2021,NM,35,5232,2090708,250.25015449311908
07/2021,NV,32,23532,3056824,769.8186091184838
07/2021,NY,36,15309,19862512,77.07484330280077
07/2021,NYC,36061,21343,8400000,254.08333333333334
07/2021,OH,39,17711,11694664,151.4451377140891
07/2021,OK,40,26187,3940521,664.5567933783375
07/2021,OR,41,11799,4199563,280.9578044191741
07/2021,PA,42,13522,12823989,105.44300997139034
07/2021,PR,72,7397,3400000,217.55882352941174
07/2021,PW,70,0,18092,0.0
07/2021,RI,44,2115,1061712,199.20656449206564
07/2021,SC,45,22851,5088916,449.03472566652704
07/2021,SD,46,839,877790,95.58094760705863
07/2021,TN,47,32935,6782564,485.58332807475165
07/2021,TX,48,134719,28704330,469.33337235183683
07/2021,UT,49,18076,3159345,572.1439095761939
07/2021,VA,51,16302,8525660,191.21100301912108
07/2021,VI,78,750,106290,705.6167090036691
07/2021,VT,50,481,623960,77.08827488941598
07/2021,WA,53,23551,7530552,312.73935828342997
07/2021,WI,55,10271,5818049,176.5368425051078
07/2021,WV,54,3196,1803077,177.25255216499352
07/2021,WY,56,2949,573720,514.01380464338
08/2020,AK,02,2297,738068,311.21793655869106
08/2020,AL,01,35920,4888949,734.718239032561
08/2020,AR,05,18713,3020327,619.5686758420528
08/2020,AS,60,0,55197,0.0
08/2020,AZ,04,27856,7123898,391.02188155978655
08/2020,CA,06,159266,39776830,400.39892570624653
08/2020,CO,08,10638,5684203,187.15024780079108
08/2020,CT,09,3069,3588683,85.51883796924945
08/2020,DE,10,2439,971180,251.1377911406742
08/2020,FL,12,148812,21312211,698.2475914864019
08/2020,GA,13,90035,10545138,853.8058013086221
08/2020,GU,66,1091,168783,646.3921129497639
08/2020,HI,15,6450,1426393,452.1895438353946
08/2020,IA,19,20241,3160553,640.4259001510179
08/2020,ID,16,11367,1753860,648.1133043686497
08/2020,IL,17,56607,12768320,443.33945264529706
08/2020,IN,18,28042,6699629,418.5604904390974
08/2020,KS,20,14800,2918515,507.10721034498715
08/2020,KY,21,20444,4472265,457.12854672073325
08/2020,LA,22,32614,4682509,696.5069367725721
08/2020,MA,25,8997,6895917,130.4685076691033
08/2020,MD,24,19498,6079602,320.7117834358236
08/2020,ME,23,611,1341582,45.54324670426407
08/2020,MI,26,39178,9991177,392.1259727457536
08/2020,MN,27,20676,5628162,367.366824195892
08/2020,MO,29,35304,6135888,575.369041938184
08/2020,MP,69,14,57557,24.323713883628404
08/2020,MS,28,21714,2982785,727.9773768474764
08/2020,MT,30,3528,1062330,332.10019485470616
08/2020,NC,37,44929,10390149,432.4192078477411
08/2020,ND,38,5398,755238,714.7415781515231
08/2020,NE,31,8196,1932549,424.10308871857836
08/2020,NH,33,692,1350575,51.237435906928525
08/2020,NJ,34,11506,9032872,127.37919899673103
08/2020,NM,35,4752,2090708,227.29142472310815
08/2020,NV,32,21172,3056824,692.614295098442
08/2020,NY,36,10653,19862512,53.6336995038694
08/2020,NYC,36061,8168,8400000,97.23809523809524
08/2020,OH,39,31998,11694664,273.61196525184477
08/2020,OK,40,20734,3940521,526.1740769811911
08/2020,OR,41,8220,4199563,195.73465143873304
08/2020,PA,42,22644,12823989,176.5753230137674
08/2020,PR,72,8355,3400000,245.73529411764704
08/2020,PW,70,0,18092,0.0
08/2020,RI,44,2804,1061712,264.1017526410175
08/2020,SC,45,32975,5088916,647.9768972409842
08/2020,SD,46,4745,877790,540.5620934392053
08/2020,TN,47,46038,6782564,678.7698575347022
08/2020,TX,48,192023,28704330,668.9687583719947
08/2020,UT,49,11995,3159345,379.66730445709476
08/2020,VA,51,30814,8525660,361.42656404313567
08/2020,VI,78,718,106290,675.5103960861793
08/2020,VT,50,185,623960,29.649336495929226
08/2020,WA,53,18469,7530552,245.25426555715967
08/2020,WI,55,23634,5818049,406.2186482100787
08/2020,WV,54,3608,1803077,200.1023805417073
08/2020,WY,56,1116,573720,194.51997490064838
08/2021,AK,02,12078,738068,1636.4345832633308
08/2021,AL,01,136430,4888949,2790.5793249223916
08/2021,AR,05,66439,3020327,2199.7287048720223
08/2021,AS,60,0,55197,0.0
08/2021,AZ,04,84688,7123898,1188.7873745525274
08/2021,CA,06,403428,39776830,1014.2286351124512
08/2021,CO,08,40653,5684203,715.1926136346643
08/2021,CT,09,18171,3588683,506.3417415246763
08/2021,DE,10,8445,971180,869.5607405424329
08/2021,FL,12,640043,21312211,3003.1750342561827
08/2021,GA,13,220304,10545138,2089.152365763255
08/2021,GU,66,2185,168783,1294.561656090957
08/2021,HI,15,20710,1426393,1451.9140236947321
08/2021,IA,19,26334,3160553,833.2086188714444
08/2021,ID,16,20616,1753860,1175.4644042283876
08/2021,IL,17,101462,12768320,794.6386055487332
08/2021,IN,18,86335,6699629,1288.6534463326252
08/2021,KS,20,37573,2918515,1287.4012982629865
08/2021,KY,21,103141,4472265,2306.236325441359
08/2021,LA,22,144319,4682509,3082.0869751665186
08/2021,MA,25,39388,6895917,571.1785684195445
08/2021,MD,24,29555,6079602,486.13379625837354
08/2021,ME,23,5826,1341582,434.2634292946686
08/2021,MI,26,46562,9991177,466.03117930950475
08/2021,MN,27,37056,5628162,658.4032229349475
08/2021,MO,29,79045,6135888,1288.240593700537
08/2021,MP,69,53,57557,92.08263113087895
08/2021,MS,28,92830,2982785,3112.192129167875
08/2021,MT,30,10773,1062330,1014.0916664313349
08/2021,NC,37,173926,10390149,1673.9509702892615
08/2021,ND,38,6297,755238,833.7769021156246
08/2021,NE,31,16171,1932549,836.7705036198306
08/2021,NH,33,6923,1350575,512.5964866815985
08/2021,NJ,34,52613,9032872,582.4614806896411
08/2021,NM,35,21840,2090708,1044.622204535497
08/2021,NV,32,33356,3056824,1091.197923073098
08/2021,NY,36,70452,19862512,354.69833825651057
08/2021,NYC,36061,57974,8400000,690.1666666666667
08/2021,OH,39,91623,11694664,783.4598753756414
08/2021,OK,40,70129,3940521,1779.6885234211416
08/2021,OR,41,55851,4199563,1329.9240897207637
08/2021,PA,42,69312,12823989,540.4870512599473
08/2021,PR,72,24186,3400000,711.3529411764706
08/2021,PW,70,2,18092,11.05460977227504
08/2021,RI,44,8364,1061712,787.7842578778426
08/2021,SC,45,116854,5088916,2296.2454086489147
08/2021,SD,46,6884,877790,784.2422447282379
08/2021,TN,47,179599,6782564,2647.9514236798946
08/2021,TX,48,448541,28704330,1562.6248722753676
08/2021,UT,49,31207,3159345,987.7680341969617
08/2021,VA,51,72976,8525660,855.9571927569244
08/2021,VI,78,1295,106290,1218.364850879669
08/2021,VT,50,3152,623960,505.1605872171293
08/2021,WA,53,87895,7530552,1167.17871412348
08/2021,WI,55,46047,5818049,791.4508798396164
08/2021,WV,54,22453,1803077,1245.2601857824152
08/2021,WY,56,9897,573720,1725.0575193474167
09/2020,AK,02,2601,738068,352.40655332570987
09/2020,AL,01,26665,4888949,545.4137484355022
09/2020,AR,05,22473,3020327,744.0585075721933
09/2020,AS,60,0,55197,0.0
09/2020,AZ,04,16702,7123898,234.4502967336141
09/2020,CA,06,99782,39776830,250.854580417796
09/2020,CO,08,13742,5684203,241.7577275125466
09/2020,CT,09,4671,3588683,130.15916981243535
09/2020,DE,10,3141,971180,323.4209930188019
09/2020,FL,12,77649,21312211,364.34042436986005
09/2020,GA,13,54948,10545138,521.0742619015513
09/2020,GU,66,1041,168783,616.7682764259433
09/2020,HI,15,3858,1426393,270.4724434289849
09/2020,IA,19,24007,3160553,759.5822629773967
09/2020,ID,16,9960,1753860,567.8902534979987
09/2020,IL,17,59038,12768320,462.37876243703164
09/2020,IN,18,25823,6699629,385.43925342731666
09/2020,KS,20,17137,2918515,587.1821799785165
09/2020,KY,21,20616,4472265,460.9744726665347
09/2020,LA,22,18564,4682509,396.45412320617
09/2020,MA,25,11627,6895917,168.60701774687834
09/2020,MD,24,16647,6079602,273.81726632763133
09/2020,ME,23,883,1341582,65.8178180685191
09/2020,MI,26,36796,9991177,368.2849378006215
09/2020,MN,27,23270,5628162,413.4564712245312
09/2020,MO,29,46213,6135888,753.1591189408932
09/2020,MP,69,14,57557,24.323713883628404
09/2020,MS,28,15005,2982785,503.05335449923473
09/2020,MT,30,5900,1062330,555.3829789236867
09/2020,NC,37,41311,10390149,397.59776303496704
09/2020,ND,38,10218,755238,1352.9509902838574
09/2020,NE,31,11262,1932549,582.7536585100818
09/2020,NH,33,991,1350575,73.37615460081817
09/2020,NJ,34,15118,9032872,167.36648100404832
09/2020,NM,35,4083,2090708,195.2926951061554
09/2020,NV,32,10601,3056824,346.79785293494166
09/2020,NY,36,14089,19862512,70.93261919741067
09/2020,NYC,36061,10589,8400000,126.05952380952382
09/2020,OH,39,30830,11694664,263.6245043038432
09/2020,OK,40,30917,3940521,784.5916821658863
09/2020,OR,41,6796,4199563,161.82636145713258
09/2020,PA,42,25399,12823989,198.05849802272914
09/2020,PR,72,9068,3400000,266.70588235294116
09/2020,PW,70,0,18092,0.0
09/2020,RI,44,2960,1061712,278.79500278795
09/2020,SC,45,25766,5088916,506.31607988813334
09/2020,SD,46,8880,877790,1011.6314836122535
09/2020,TN,47,42308,6782564,623.7759053950689
09/2020,TX,48,135998,28704330,473.7891460974703
09/2020,UT,49,20250,3159345,640.9556411218149
09/2020,VA,51,27106,8525660,317.9343300108144
09/2020,VI,78,179,106290,168.40718788220906
09/2020,VT,50,127,623960,20.35386883774601
09/2020,WA,53,13687,7530552,181.75294453846146
09/2020,WI,55,48555,5818049,834.5581138969438
09/2020,WV,54,5598,1803077,310.46927003117446
09/2020,WY,56,2106,573720,367.0780171512236
09/2021,AK,02,25248,738068,3420.8230135976632
09/2021,AL,01,73239,4888949,1498.0520353147476
09/2021,AR,05,43186,3020327,1429.8451790153847
09/2021,AS,60,1,55197,1.8116926644564015
09/2021,AZ,04,81660,7123898,1146.2825548597132
09/2021,CA,06,261830,39776830,658.2475275179042
09/2021,CO,08,50798,5684203,893.6697018034014
09/2021,CT,09,17273,3588683,481.3186341618917
09/2021,DE,10,13111,971180,1350.007207726683
09/2021,FL,12,307377,21312211,1442.2576803504808
09/2021,GA,13,175134,10545138,1660.8033010094318
09/2021,GU,66,4428,168783,2623.4869625495458
09/2021,HI,15,15431,1426393,1081.8196668099183
09/2021,IA,19,47250,3160553,1494.9915410372805
09/2021,ID,16,35933,1753860,2048.795228809597
09/2021,IL,17,104566,12768320,818.9487732137039
09/2021,IN,18,104242,6699629,1555.9369033718135
09/2021,KS,20,39045,2918515,1337.8379072918933
09/2021,KY,21,109252,4472265,2442.8784966901558
09/2021,LA,22,50833,4682509,1085.5932150904569
09/2021,MA,25,52082,6895917,755.2585102169878
09/2021,MD,24,35494,6079602,583.8211119741062
09/2021,ME,23,14438,1341582,1076.1921373423318
09/2021,MI,26,91984,9991177,920.6522915168052
09/2021,MN,27,61130,5628162,1086.1449972477692
09/2021,MO,29,61059,6135888,995.1126878456713
09/2021,MP,69,27,57557,46.910019632711915
09/2021,MS,28,49555,2982785,1661.3668098773462
09/2021,MT,30,23806,1062330,2240.9232536029294
09/2021,NC,37,161914,10390149,1558.3414636305986
09/2021,ND,38,14853,755238,1966.6648129463824
09/2021,NE,31,22014,1932549,1139.1173005186415
09/2021,NH,33,12579,1350575,931.3810784295579
09/2021,NJ,34,62604,9032872,693.0686054225057
09/2021,NM,35,20410,2090708,976.2243220956728
09/2021,NV,32,30719,3056824,1004.9319162634159
09/2021,NY,36,97576,19862512,491.2570977930687
09/2021,NYC,36061,50711,8400000,603.702380952381
09/2021,OH,39,193072,11694664,1650.9409761580152
09/2021,OK,40,60721,3940521,1540.9383683020596
09/2021,OR,41,53767,4199563,1280.2998788207249
09/2021,PA,42,129572,12823989,1010.3876414741154
09/2021,PR,72,9897,3400000,291.0882352941176
09/2021,PW,70,3,18092,16.581914658412558
09/2021,RI,44,9739,1061712,917.2920716729207
09/2021,SC,45,121360,5088916,2384.7907884508213
09/2021,SD,46,12759,877790,1453.5367229063897
09/2021,TN,47,154430,6782564,2276.8675680760257
09/2021,TX,48,442670,28704330,1542.1715121028778
09/2021,UT,49,44072,3159345,1394.972692124475
09/2021,VA,51,99486,8525660,1166.9008616341725
09/2021,VI,78,834,106290,784.6457804120803
09/2021,VT,50,4796,623960,768.639015321495
09/2021,WA,53,94585,7530552,1256.0168232023361
09/2021,WI,55,76224,5818049,1310.1299078093016
09/2021,WV,54,50769,1803077,2815.6867399451053
09/2021,WY,56,15466,573720,2695.740082270097
10/2020,AK,02,7507,738068,1017.1149541776638
10/2020,AL,01,34771,4888949,711.2162552728613
10/2020,AR,05,28493,3020327,943.3746743316203
10/2020,AS,60,0,55197,0.0
10/2020,AZ,04,27495,7123898,385.954431127453
10/2020,CA,06,121224,39776830,304.76033409399395
10/2020,CO,08,38758,5684203,681.8546065297105
10/2020,CT,09,13657,3588683,380.5574356943759
10/2020,DE,10,4380,971180,450.9977553079758
10/2020,FL,12,98402,21312211,461.7165248598561
10/2020,GA,13,53276,10545138,505.2186135449342
10/2020,GU,66,2140,168783,1267.9002032195185
10/2020,HI,15,2515,1426393,176.3188686427934
10/2020,IA,19,39136,3160553,1238.2643164028575
10/2020,ID,16,22560,1753860,1286.3056344292017
10/2020,IL,17,120796,12768320,946.0602491165635
10/2020,IN,18,59339,6699629,885.7057607219743
10/2020,KS,20,25432,2918515,871.4020657766022
10/2020,KY,21,36944,4472265,826.0691171028551
10/2020,LA,22,19191,4682509,409.84438043792335
10/2020,MA,25,26460,6895917,383.7053143186033
10/2020,MD,24,20635,6079602,339.41366556560774
10/2020,ME,23,1237,1341582,92.20457638817456
10/2020,MI,26,66505,9991177,665.6372917825397
10/2020,MN,27,49338,5628162,876.6272186195066
10/2020,MO,29,65625,6135888,1069.5273446972956
10/2020,MP,69,22,57557,38.222978959987486
10/2020,MS,28,21304,2982785,714.2318336722225
10/2020,MT,30,19408,1062330,1826.9276025340525
10/2020,NC,37,65059,10390149,626.1604140614345
10/2020,ND,38,22825,755238,3022.2261062075795
10/2020,NE,31,25957,1932549,1343.1483496666838
10/2020,NH,33,2818,1350575,208.651870499602
10/2020,NJ,34,39343,9032872,435.5536090846854
10/2020,NM,35,17055,2090708,815.7523671407006
10/2020,NV,32,20678,3056824,676.4537310620435
10/2020,NY,36,29663,19862512,149.34163412966095
10/2020,NYC,36061,20792,8400000,247.52380952380955
10/2020,OH,39,61710,11694664,527.676554024981
10/2020,OK,40,39651,3940521,1006.2375000666154
10/2020,OR,41,11412,4199563,271.7425598806352
10/2020,PA,42,49597,12823989,386.75173536097077
10/2020,PR,72,13076,3400000,384.5882352941176
10/2020,PW,70,0,18092,0.0
10/2020,RI,44,8674,1061712,816.9823831698237
10/2020,SC,45,28644,5088916,562.8703637474072
10/2020,SD,46,23603,877790,2688.911926542795
10/2020,TN,47,70541,6782564,1040.0344176627011
10/2020,TX,48,151629,28704330,528.2443450169364
10/2020,UT,49,41614,3159345,1317.1717555379357
10/2020,VA,51,33672,8525660,394.9488954520823
10/2020,VI,78,60,106290,56.44933672029354
10/2020,VT,50,414,623960,66.35040707737676
10/2020,WA,53,21135,7530552,280.65671679844985
10/2020,WI,55,108747,5818049,1869.1317312728029
10/2020,WV,54,8612,1803077,477.62796597150316
10/2020,WY,56,7350,573720,1281.112737920937
10/2021,AK,02,19895,738068,2695.5510874336783
10/2021,AL,01,17715,4888949,362.3478174961531
10/2021,AR,05,14329,3020327,474.4188294843571
10/2021,AS,60,3,55197,5.435077993369204
10/2021,AZ,04,56399,7123898,791.6873599257036
10/2021,CA,06,104270,39776830,262.1375308188209
10/2021,CO,08,55409,5684203,974.7892536561415
10/2021,CT,09,10780,3588683,300.388749856145
10/2021,DE,10,9637,971180,992.2980292015899
10/2021,FL,12,67196,21312211,315.29342497594456
10/2021,GA,13,49450,10545138,468.9364899729145
10/2021,GU,66,2655,168783,1573.0257194148699
10/2021,HI,15,4023,1426393,282.04008292244845
10/2021,IA,19,27389,3160553,866.58885327979
10/2021,ID,16,29013,1753860,1654.2369402346824
10/2021,IL,17,58540,12768320,458.4784842485151
10/2021,IN,18,48389,6699629,722.2638746115643
10/2021,KS,20,20175,2918515,691.2762141020347
10/2021,KY,21,38411,4472265,858.871287815011
10/2021,LA,22,15976,4682509,341.18460850796015
10/2021,MA,25,34093,6895917,494.3940015519328
10/2021,MD,24,23322,6079602,383.6106376700317
10/2021,ME,23,11121,1341582,828.946721109854
10/2021,MI,26,100947,9991177,1010.3614419001885
10/2021,MN,27,62133,5628162,1103.966090528311
10/2021,MO,29,27771,6135888,452.5995259365882
10/2021,MP,69,21,57557,36.48557082544261
10/2021,MS,28,12436,2982785,416.92579250599687
10/2021,MT,30,20948,1062330,1971.891973303964
10/2021,NC,37,73901,10390149,711.2602523794413
10/2021,ND,38,12936,755238,1712.8375426024643
10/2021,NE,31,14610,1932549,755.9963550730149
10/2021,NH,33,12173,1350575,901.3198082298281
10/2021,NJ,34,35869,9032872,397.094080376651
10/2021,NM,35,18188,2090708,869.9445355353306
10/2021,NV,32,16164,3056824,528.784123652523
10/2021,NY,36,79176,19862512,398.6202752199722
10/2021,NYC,36061,31507,8400000,375.08333333333337
10/2021,OH,39,110197,11694664,942.2844469922351
10/2021,OK,40,24503,3940521,621.8213276873794
10/2021,OR,41,29679,4199563,706.7163893005057
10/2021,PA,42,110781,12823989,863.8575719302316
10/2021,PR,72,2623,3400000,77.14705882352942
10/2021,PW,70,3,18092,16.581914658412558
10/2021,RI,44,6064,1061712,571.1530057115301
10/2021,SC,45,34372,5088916,675.4287160566219
10/2021,SD,46,7585,877790,864.1018922521332
10/2021,TN,47,41363,6782564,609.8431212739017
10/2021,TX,48,138426,28704330,482.24780024477144
10/2021,UT,49,34037,3159345,1077.343563301887
10/2021,VA,51,50671,8525660,594.3352186223706
10/2021,VI,78,387,106290,364.0982218458933
10/2021,VT,50,4870,623960,780.4987499198667
10/2021,WA,53,58689,7530552,779.3452591523171
10/2021,WI,55,61861,5818049,1063.2602097369754
10/2021,WV,54,26939,1803077,1494.0571034958573
10/2021,WY,56,10481,573720,1826.8493341699784
11/2020,AK,02,16395,738068,2221.3400391291857
11/2020,AL,01,65453,4888949,1338.7949025444937
11/2020,AR,05,45169,3020327,1495.5003216539137
11/2020,AS,60,3,55197,5.435077993369204
11/2020,AZ,04,80961,7123898,1136.4705109477984
11/2020,CA,06,375025,39776830,942.8227437933089
11/2020,CO,08,135529,5684203,2384.3096384840583
