month_year,state,fips,new_case,state_pop,new_case_per
02/2020,FL,12,0,21312211,0.0
02/2020,GA,13,2,10545138,0.01896608655097733
02/2020,GU,66,0,168783,0.0
02/2020,HI,15,0,1426393,0.0
02/2020,IA,19,0,3160553,0.0
02/2020,ID,16,0,1753860,0.0
02/2020,IL,17,0,12768320,0.0
02/2020,IN,18,0,6699629,0.0
02/2020,KS,20,0,2918515,0.0
02/2020,KY,21,0,4472265,0.0
02/2020,LA,22,0,4682509,0.0
02/2020,MA,25,1,6895917,0.014501334630332704
02/2020,MD,24,0,6079602,0.0
02/2020,ME,23,0,1341582,0.0
02/2020,MI,26,0,9991177,0.0
02/2020,MN,27,0,5628162,0.0
02/2020,MO,29,0,6135888,0.0
02/2020,MP,69,0,57557,0.0
02/2020,MS,28,0,2982785,0.0
02/2020,MT,30,0,1062330,0.0
02/2020,NC,37,0,10390149,0.0
02/2020,ND,38,0,755238,0.0
02/2020,NE,31,0,1932549,0.0
02/2020,NH,33,0,1350575,0.0
02/2020,NJ,34,0,9032872,0.0
02/2020,NM,35,0,2090708,0.0
02/2020,NV,32,0,3056824,0.0
02/2020,NY,36,0,19862512,0.0
02/2020,NYC,36061,0,8400000,0.0
02/2020,OH,39,0,11694664,0.0
02/2020,OK,40,28,3940521,0.7105659378544106
02/2020,OR,41,1,4199563,0.02381200139157336
02/2020,PA,42,0,12823989,0.0
02/2020,PR,72,0,3400000,0.0
02/2020,PW,70,0,18092,0.0
02/2020,RI,44,0,1061712,0.0
02/2020,SC,45,0,5088916,0.0
02/2020,SD,46,0,877790,0.0
02/2020,TN,47,0,6782564,0.0
02/2020,TX,48,0,28704330,0.0
02/2020,UT,49,0,3159345,0.0
02/2020,VA,51,0,8525660,0.0
02/2020,VI,78,0,106290,0.0
02/2020,VT,50,0,623960,0.0
02/2020,WA,53,0,7530552,0.0
02/2020,WI,55,0,5818049,0.0
02/2020,WV,54,0,1803077,0.0
02/2020,WY,56,0,573720,0.0
02/2021,AK,02,3569,738068,483.55978039963793
02/2021,AL,01,30534,4888949,624.5514117655963
02/2021,AR,05,27147,3020327,898.8099632920541
02/2021,AS,60,1,55197,1.8116926644564015
02/2021,AZ,04,58558,7123898,821.9938017079976
02/2021,CA,06,195105,39776830,490.4991171996361
02/2021,CO,08,31561,5684203,555.240549994432
02/2021,CT,09,29923,3588683,833.8156365441027
02/2021,DE,10,8888,971180,915.175353693445
02/2021,FL,12,179462,21312211,842.0618583402727
02/2021,GA,13,97076,10545138,920.5759090113378
02/2021,GU,66,126,168783,74.65206804002773
02/2021,HI,15,1687,1426393,118.2703504574125
02/2021,IA,19,17082,3160553,540.4750371216683
02/2021,ID,16,8457,1753860,482.1935616297766
02/2021,IL,17,60395,12768320,473.0066289065437
02/2021,IN,18,35331,6699629,527.3575596499447
02/2021,KS,20,18978,2918515,650.2622052653489
02/2021,KY,21,38927,4472265,870.4090656524155
02/2021,LA,22,29474,4682509,629.4488702531057
02/2021,MA,25,57123,6895917,828.3597380884951
02/2021,MD,24,27066,6079602,445.19361629264546
02/2021,ME,23,5221,1341582,389.16741578226305
02/2021,MI,26,34918,9991177,349.48835357435865
02/2021,MN,27,22787,5628162,404.8746286976103
02/2021,MO,29,24690,6135888,402.3867449992568
02/2021,MP,69,11,57557,19.111489479993743
02/2021,MS,28,18619,2982785,624.2152887318396
02/2021,MT,30,6005,1062330,565.2669132943624
02/2021,NC,37,82769,10390149,796.6103277248478
02/2021,ND,38,2169,755238,287.1942354595505
02/2021,NE,31,9801,1932549,507.15402300278026
02/2021,NH,33,9729,1350575,720.3598467319475
02/2021,NJ,34,92527,9032872,1024.3364458170115
02/2021,NM,35,11068,2090708,529.3900439468352
02/2021,NV,32,15446,3056824,505.2956925226968
02/2021,NY,36,107667,19862512,542.0613465205206
02/2021,NYC,36061,113681,8400000,1353.345238095238
02/2021,OH,39,71630,11694664,612.5015648162273
02/2021,OK,40,24269,3940521,615.8830266353104
02/2021,OR,41,13181,4199563,313.8659903423285
02/2021,PA,42,86864,12823989,677.3555404640475
02/2021,PR,72,6009,3400000,176.73529411764704
02/2021,PW,70,0,18092,0.0
02/2021,RI,44,10580,1061712,996.5037599650376
02/2021,SC,45,59084,5088916,1161.0331158934437
02/2021,SD,46,4177,877790,475.8541336766197
02/2021,TN,47,44459,6782564,655.4895759184875
02/2021,TX,48,283392,28704330,987.27961948598
02/2021,UT,49,24611,3159345,778.9905819085918
02/2021,VA,51,69534,8525660,815.5849517808592
02/2021,VI,78,225,106290,211.68501270110076
02/2021,VT,50,2969,623960,475.8317840887236
02/2021,WA,53,27424,7530552,364.16985102818495
02/2021,WI,55,25227,5818049,433.5989607512759
02/2021,WV,54,10854,1803077,601.970964079737
02/2021,WY,56,2482,573720,432.61521299588645
03/2020,AK,02,128,738068,17.34257548085
